2018-01-13 02:09:51.0836 | INFO | Users.Controllers.UsersController | Request GET
2018-01-13 12:33:00.3925 | INFO | Users.Controllers.UsersController | Request GET
2018-01-13 12:33:10.6428 | INFO | Users.Controllers.UsersController | Request GET
2018-01-13 12:33:42.4467 | INFO | Users.Controllers.UsersController | Request GET
2018-01-13 12:42:27.7237 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-13 12:42:31.8589 | INFO | Users.Controllers.UsersController | Request DELETE with ID = 42
2018-01-13 12:42:32.0063 | INFO | Users.Controllers.UsersController | Success request DELETE with ID = 42
2018-01-13 12:42:51.1761 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-13 12:43:58.4935 | INFO | Users.Controllers.UsersController | Request GET
2018-01-13 15:05:02.3318 | INFO | Users.Controllers.UsersController | Request GET
2018-01-13 15:07:23.8625 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-13 15:08:21.0005 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-13 15:08:33.9612 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-13 15:08:34.0193 | INFO | Users.Controllers.UsersController | Request POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-13 15:08:34.1567 | INFO | Users.Controllers.UsersController | Success POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-13 15:09:18.2940 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-13 15:09:18.3291 | INFO | Users.Controllers.UsersController | Request DELETE with ID = 43
2018-01-13 15:09:18.4444 | INFO | Users.Controllers.UsersController | Success request DELETE with ID = 43
2018-01-13 15:10:20.8073 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-13 15:13:35.0743 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-13 15:14:44.9336 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-13 15:15:29.5523 | INFO | Users.Controllers.UsersController | Request GET
2018-01-13 15:15:52.6600 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-13 15:15:52.7463 | INFO | Users.Controllers.UsersController | Request POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-13 15:15:52.8033 | INFO | Users.Controllers.UsersController | Success POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-13 15:17:54.2040 | INFO | Users.Controllers.UsersController | Request GET
2018-01-13 15:22:15.6940 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-13 15:23:26.8798 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-13 15:23:26.9449 | INFO | Users.Controllers.UsersController | Request DELETE with ID = 44
2018-01-13 15:23:27.0201 | INFO | Users.Controllers.UsersController | Success request DELETE with ID = 44
2018-01-13 15:24:59.3425 | INFO | Users.Controllers.UserInfController | Request GET with OData
