2018-01-16 20:10:54.8237 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:10:52.4658 | INFO | Users.Controllers.UsersController | Success request DELETE with ID = 50
2018-01-16 21:11:17.4435 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:11:17.4515 | INFO | Users.Controllers.UsersController | Request POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-16 21:11:17.4515 | INFO | Users.Controllers.UsersController | Success POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-16 21:11:31.6231 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:11:48.7059 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:11:48.7059 | INFO | Users.Controllers.UsersController | Request DELETE with ID = 51
2018-01-16 21:11:48.7991 | INFO | Users.Controllers.UsersController | Success request DELETE with ID = 51
2018-01-16 21:17:58.5917 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:18:08.5114 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:18:08.5114 | INFO | Users.Controllers.UsersController | Request POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-16 21:18:08.5264 | INFO | Users.Controllers.UsersController | Success POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-16 21:18:21.6761 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:18:21.6861 | INFO | Users.Controllers.UsersController | Request DELETE with ID = 52
2018-01-16 21:18:21.6861 | INFO | Users.Controllers.UsersController | Success request DELETE with ID = 52
2018-01-16 21:19:45.5174 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:19:45.5284 | INFO | Users.Controllers.UsersController | Request POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-16 21:19:45.5284 | INFO | Users.Controllers.UsersController | Success POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-16 21:20:19.0340 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:20:19.0421 | INFO | Users.Controllers.UsersController | Request DELETE with ID = 53
2018-01-16 21:20:19.0421 | INFO | Users.Controllers.UsersController | Success request DELETE with ID = 53
2018-01-16 21:28:40.1244 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:28:41.4952 | INFO | Users.Controllers.UsersController | Request POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-16 21:28:41.5452 | INFO | Users.Controllers.UsersController | Success POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-16 21:28:54.9419 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:28:54.9580 | INFO | Users.Controllers.UsersController | Request DELETE with ID = 54
2018-01-16 21:28:54.9700 | INFO | Users.Controllers.UsersController | Success request DELETE with ID = 54
2018-01-16 21:33:41.4827 | ERROR | Users.Controllers.UsersController | Error in Statistic service. Deleted data from DataBase. Message:Error in Input Queue
