2017-12-25 01:55:56.2632 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 19:11:22.6756 | INFO | Users.Controllers.UsersController | Request GET
2017-12-25 19:12:37.5292 | INFO | Users.Controllers.UsersController | Request PUT with ID = 4 FIO = Rodionov Adress = Kaluga Leninskiy prsp 34 Phone = 89603409898 IdFines = 4
2017-12-25 19:12:37.5292 | INFO | Users.Controllers.UsersController | ABORTED request PUT with ID = 4 FIO = Rodionov Adress = Kaluga Leninskiy prsp 34 Phone = 89603409898 IdFines = 4. Bad ID and data.ID.
2017-12-25 19:13:17.3177 | INFO | Users.Controllers.UsersController | Request GET
2017-12-25 19:14:16.4437 | INFO | Users.Controllers.UsersController | Request PUT with ID = 4 FIO = Rodionov Adress = Kaluga Leninskiy prsp 34 Phone = 89603409898 IdFines = 0
2017-12-25 19:14:16.4437 | INFO | Users.Controllers.UsersController | ABORTED request PUT with ID = 4 FIO = Rodionov Adress = Kaluga Leninskiy prsp 34 Phone = 89603409898 IdFines = 0. Bad ID and data.ID.
2017-12-25 19:14:19.9480 | INFO | Users.Controllers.UsersController | Request GET
2017-12-25 19:16:13.6796 | INFO | Users.Controllers.UsersController | Request PUT with ID = 4 FIO = Rodionov Adress = Kaluga Leninskiy prsp 34 Phone = 89603409898 IdFines = 0
2017-12-25 19:16:13.6796 | INFO | Users.Controllers.UsersController | ABORTED request PUT with ID = 4 FIO = Rodionov Adress = Kaluga Leninskiy prsp 34 Phone = 89603409898 IdFines = 0. Bad ID and data.ID.
2017-12-25 19:52:42.8140 | INFO | Users.Controllers.UsersController | Request PUT with ID = 4 FIO = Rodionov Adress = Kaluga Leninskiy prsp 34 Phone = 89603409898 IdFines = 0
2017-12-25 19:52:46.6110 | INFO | Users.Controllers.UsersController | Success request PUT with ID = 4 FIO = Rodionov Adress = Kaluga Leninskiy prsp 34 Phone = 89603409898 IdFines = 0.
2017-12-25 19:52:57.4711 | INFO | Users.Controllers.UsersController | Request GET
2017-12-25 19:55:37.1113 | INFO | Users.Controllers.UsersController | Request GET
2017-12-25 19:57:24.9642 | INFO | Users.Controllers.UsersController | Request GET
2017-12-25 19:57:38.4448 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 19:57:39.7454 | INFO | Users.Controllers.UsersController | Request GET
2017-12-25 19:57:39.7711 | INFO | Users.Controllers.UsersController | Request GET with ID = 1
2017-12-25 19:57:39.7798 | INFO | Users.Controllers.UsersController | Success request GET with ID = 1
2017-12-25 19:57:39.9339 | INFO | Users.Controllers.UsersController | Request GET with ID = 0
2017-12-25 19:57:39.9459 | ERROR | Users.Controllers.UsersController | ERROR request GET with ID = 0. Not found ID
2017-12-25 19:57:39.9710 | INFO | Users.Controllers.UsersController | Request GET
2017-12-25 19:57:39.9920 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 19:57:41.4344 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 19:57:41.4635 | INFO | Users.Controllers.UsersController | Request POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2017-12-25 19:57:41.4777 | INFO | Users.Controllers.UsersController | Success POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2017-12-25 19:57:41.9809 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 19:57:42.0050 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 20:22:36.8045 | INFO | Users.Controllers.UsersController | Request GET
2017-12-25 20:23:01.5794 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 20:23:51.9107 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 20:23:58.4709 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 20:30:10.0469 | INFO | Users.Controllers.UsersController | Request GET
2017-12-25 20:31:47.4088 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 20:31:47.6520 | INFO | Users.Controllers.UsersController | Request POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2017-12-25 20:31:48.0187 | INFO | Users.Controllers.UsersController | Success POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2017-12-25 20:32:15.0415 | INFO | Users.Controllers.UsersController | Request GET
2017-12-25 20:32:25.5889 | INFO | Users.Controllers.UserInfController | Request GET with OData
2017-12-25 20:32:25.6263 | INFO | Users.Controllers.UsersController | Request DELETE with ID = 8
2017-12-25 20:32:25.9200 | INFO | Users.Controllers.UsersController | Success request DELETE with ID = 8
2017-12-25 20:32:36.4636 | INFO | Users.Controllers.UsersController | Request GET
2017-12-25 20:33:39.5999 | INFO | Users.Controllers.UsersController | Request PUT with ID = 3 FIO = Ivanov Ivan Adress = St Peterburg   Phone = 89603409898 IdFines = 0
2017-12-25 20:33:39.6127 | INFO | Users.Controllers.UsersController | Success request PUT with ID = 3 FIO = Ivanov Ivan Adress = St Peterburg   Phone = 89603409898 IdFines = 0.
2017-12-25 20:33:45.2519 | INFO | Users.Controllers.UsersController | Request GET
